matrix,a_star_misplaced_tile,bnb_misplaced_tile,a_star_manhattan_distance,bnb_manhattan_distance,a_star_manhattan_distance_plus_reversal_penalty,bnb_manhattan_distance_plus_reversal_penalty,avg_all,avg_a_star,avg_bnb,avg_misplaced_tile,avg_manhattan_distance,avg_manhattan_distance_plus_reversal_penalty
"[3, 8, 6, 2, 7, 5, 1, 4, 0]","{'final_iteration': 2012, 'max_depth': 20, 'solution_depth': 20}","{'solution_depth': 20, 'solution_iteration': 2046, 'final_iteration': 4598, 'max_depth': 30}","{'final_iteration': 170, 'max_depth': 20, 'solution_depth': 20}","{'solution_depth': 20, 'solution_iteration': 338, 'final_iteration': 434, 'max_depth': 30}","{'final_iteration': 149, 'max_depth': 20, 'solution_depth': 20}","{'solution_depth': 20, 'solution_iteration': 216, 'final_iteration': 304, 'max_depth': 30}",1277.8333333333333,865.0,1690.6666666666667,3305.0,302.0,226.5
"[7, 6, 1, 3, 0, 2, 8, 4, 5]","{'final_iteration': 15996, 'max_depth': 24, 'solution_depth': 24}","{'solution_depth': 24, 'solution_iteration': 64562, 'final_iteration': 91411, 'max_depth': 30}","{'final_iteration': 1266, 'max_depth': 24, 'solution_depth': 24}","{'solution_depth': 24, 'solution_iteration': 1728, 'final_iteration': 3037, 'max_depth': 30}","{'final_iteration': 937, 'max_depth': 24, 'solution_depth': 24}","{'solution_depth': 24, 'solution_iteration': 642, 'final_iteration': 1591, 'max_depth': 28}",19039.666666666668,6656.666666666667,31422.666666666668,53703.5,2151.5,1264.0
"[5, 6, 2, 7, 8, 1, 4, 0, 3]","{'final_iteration': 4046, 'max_depth': 21, 'solution_depth': 21}","{'solution_depth': 21, 'solution_iteration': 49877, 'final_iteration': 53803, 'max_depth': 31}","{'final_iteration': 416, 'max_depth': 21, 'solution_depth': 21}","{'solution_depth': 21, 'solution_iteration': 2183, 'final_iteration': 2357, 'max_depth': 31}","{'final_iteration': 237, 'max_depth': 21, 'solution_depth': 21}","{'solution_depth': 21, 'solution_iteration': 13570, 'final_iteration': 13580, 'max_depth': 31}",12406.5,2213.3333333333335,22599.666666666668,28924.5,1386.5,6908.5
"[0, 1, 4, 3, 6, 2, 5, 8, 7]","{'final_iteration': 12935, 'max_depth': 24, 'solution_depth': 24}","{'solution_depth': 24, 'solution_iteration': 13162, 'final_iteration': 36862, 'max_depth': 29}","{'final_iteration': 1023, 'max_depth': 24, 'solution_depth': 24}","{'solution_depth': 24, 'solution_iteration': 1247, 'final_iteration': 2232, 'max_depth': 28}","{'final_iteration': 633, 'max_depth': 24, 'solution_depth': 24}","{'solution_depth': 24, 'solution_iteration': 754, 'final_iteration': 1336, 'max_depth': 28}",9170.166666666666,5266.666666666667,13073.666666666666,24898.5,1627.5,984.5
"[1, 5, 8, 3, 2, 7, 6, 0, 4]","{'final_iteration': 10165, 'max_depth': 23, 'solution_depth': 23}","{'solution_depth': 23, 'solution_iteration': 225020, 'final_iteration': 229014, 'max_depth': 31}","{'final_iteration': 638, 'max_depth': 23, 'solution_depth': 23}","{'solution_depth': 23, 'solution_iteration': 815, 'final_iteration': 959, 'max_depth': 29}","{'final_iteration': 530, 'max_depth': 23, 'solution_depth': 23}","{'solution_depth': 23, 'solution_iteration': 2249, 'final_iteration': 2289, 'max_depth': 31}",40599.166666666664,3884.6666666666665,77313.66666666667,119589.5,798.5,1409.5
"[7, 0, 6, 3, 2, 1, 8, 4, 5]","{'final_iteration': 9740, 'max_depth': 23, 'solution_depth': 23}","{'solution_depth': 23, 'solution_iteration': 30303, 'final_iteration': 46685, 'max_depth': 31}","{'final_iteration': 872, 'max_depth': 23, 'solution_depth': 23}","{'solution_depth': 23, 'solution_iteration': 1203, 'final_iteration': 2050, 'max_depth': 31}","{'final_iteration': 630, 'max_depth': 23, 'solution_depth': 23}","{'solution_depth': 23, 'solution_iteration': 750, 'final_iteration': 1309, 'max_depth': 31}",10214.333333333334,4140.0,16288.666666666666,28212.5,1461.0,969.5
"[2, 8, 4, 0, 6, 5, 3, 7, 1]","{'final_iteration': 9727, 'max_depth': 23, 'solution_depth': 23}","{'solution_depth': 23, 'solution_iteration': 376045, 'final_iteration': 385442, 'max_depth': 31}","{'final_iteration': 396, 'max_depth': 23, 'solution_depth': 23}","{'solution_depth': 23, 'solution_iteration': 2418, 'final_iteration': 2472, 'max_depth': 31}","{'final_iteration': 339, 'max_depth': 23, 'solution_depth': 23}","{'solution_depth': 23, 'solution_iteration': 1302, 'final_iteration': 1350, 'max_depth': 31}",66621.0,4179.333333333333,129062.66666666667,197584.5,1434.0,844.5
"[3, 1, 8, 0, 2, 4, 6, 5, 7]","{'final_iteration': 44757, 'max_depth': 27, 'solution_depth': 27}","{'solution_depth': 23, 'solution_iteration': 101225, 'final_iteration': 109098, 'max_depth': 31}","{'final_iteration': 278, 'max_depth': 23, 'solution_depth': 23}","{'solution_depth': 23, 'solution_iteration': 11492, 'final_iteration': 11534, 'max_depth': 31}","{'final_iteration': 249, 'max_depth': 23, 'solution_depth': 23}","{'solution_depth': 23, 'solution_iteration': 8566, 'final_iteration': 8604, 'max_depth': 31}",29086.666666666668,18846.666666666668,39326.666666666664,76927.5,5906.0,4426.5
"[6, 3, 7, 0, 8, 1, 4, 2, 5]","{'final_iteration': 20052, 'max_depth': 25, 'solution_depth': 25}","{'solution_depth': 25, 'solution_iteration': 322618, 'final_iteration': 336421, 'max_depth': 31}","{'final_iteration': 703, 'max_depth': 25, 'solution_depth': 25}","{'solution_depth': 25, 'solution_iteration': 6612, 'final_iteration': 6940, 'max_depth': 29}","{'final_iteration': 557, 'max_depth': 25, 'solution_depth': 25}","{'solution_depth': 25, 'solution_iteration': 4666, 'final_iteration': 4952, 'max_depth': 29}",61604.166666666664,9183.0,114025.33333333333,178236.5,3821.5,2754.5
"[4, 3, 0, 7, 6, 5, 2, 8, 1]","{'final_iteration': 5366, 'max_depth': 22, 'solution_depth': 22}","{'solution_depth': 22, 'solution_iteration': 46510, 'final_iteration': 49441, 'max_depth': 30}","{'final_iteration': 481, 'max_depth': 22, 'solution_depth': 22}","{'solution_depth': 22, 'solution_iteration': 2519, 'final_iteration': 2717, 'max_depth': 30}","{'final_iteration': 298, 'max_depth': 22, 'solution_depth': 22}","{'solution_depth': 22, 'solution_iteration': 320, 'final_iteration': 569, 'max_depth': 26}",9812.0,2793.6666666666665,16830.333333333332,27403.5,1599.0,433.5
